user_id,session_type,status,condition,start_time,end_time,duration_seconds,total_messages,user_messages,assistant_messages,quiz_score,quiz_total,quiz_percentage,quiz_completed_time,survey_completed_time,avg_response_time,median_response_time,std_response_time,min_response_time,max_response_time,rapid_response_count,rapid_response_pct,has_both,avg_difficulty_correct,avg_difficulty_incorrect
Ffy5aWTnDLO2hBu1SSV3TG1ElgN2,arraylist,completed,1.0,1769187166.8812432,1769187955.27308,788.3918261528015,20.0,10.0,10.0,3.0,5.0,60.0,1769187918.93462,1769187955.166067,52.76839590072632,62.27996039390564,32.231210233985344,8.767627477645874,95.33646488189697,1.0,0.1,True,2.3333333333333335,2.0
Ffy5aWTnDLO2hBu1SSV3TG1ElgN2,recursion,completed,1.0,1769792487.3890958,1769793066.009452,578.620347738266,19.0,9.0,10.0,4.0,5.0,80.0,1769793030.5539005,1769793065.885585,49.56132748391893,43.81986951828003,38.27379795194807,4.614698171615601,115.64129996299744,2.0,0.2222222222222222,True,2.25,1.0
GJDwIBFMZqQZs7zM0dOjWhLG0hI2,arraylist,completed,3.0,1769194616.0198154,1769195688.146698,1072.1268730163574,31.0,15.0,16.0,4.0,5.0,80.0,1769195641.5348132,1769195688.010373,48.94568470319112,49.21830749511719,26.423720213415983,5.226894855499268,112.5699028968811,1.0,0.06666666666666667,False,2.25,2.0
GvnIW82Cgrf3LJBW6p81W5L8LnD3,arraylist,completed,2.0,1769187145.0333362,1769187840.0605378,695.0271909236908,23.0,11.0,12.0,4.0,5.0,80.0,1769187788.2309988,1769187838.7388103,46.552241282029584,39.27853870391846,32.01660223493287,9.150776863098145,106.76081442832947,1.0,0.09090909090909091,True,2.25,2.0
GvnIW82Cgrf3LJBW6p81W5L8LnD3,recursion,completed,2.0,1769792344.6129768,1769793022.0974915,677.4845061302185,21.0,10.0,11.0,5.0,5.0,100.0,1769792978.0446095,1769793021.9719677,56.65767478942871,31.09024977684021,60.00748654773236,11.034684658050537,205.21977710723877,0.0,0.0,True,2.0,
HQk1KKqGojXqkWFqQvcsz46SW2v2,arraylist,completed,1.0,1769190883.1288545,1769191277.241224,394.1123585700989,17.0,8.0,9.0,3.0,5.0,60.0,1769191228.7836711,1769191277.1162684,31.145298659801483,31.083510637283325,13.583487936018837,11.886599779129028,46.619179010391235,0.0,0.0,True,2.3333333333333335,2.0
HQk1KKqGojXqkWFqQvcsz46SW2v2,recursion,completed,1.0,1769795674.5686526,1769796381.9927676,707.4241054058075,25.0,12.0,13.0,4.0,5.0,80.0,1769796319.846861,1769796381.854179,46.287515898545585,38.2448388338089,36.26151856378404,10.503334283828735,131.76695680618286,0.0,0.0,True,2.25,1.0
KW6di9CW3cZQz1cvFlBzH6caubz1,arraylist,completed,1.0,1769194661.2860234,1769195086.5690525,425.2830219268799,19.0,9.0,10.0,2.0,5.0,40.0,1769195052.291722,1769195086.4347138,34.95832869741652,24.42208433151245,41.7219609194318,3.6968281269073486,139.69607591629028,2.0,0.2222222222222222,True,3.0,1.6666666666666667
KW6di9CW3cZQz1cvFlBzH6caubz1,recursion,completed,1.0,1769799495.2235286,1769799956.951404,461.7278652191162,19.0,9.0,10.0,3.0,5.0,60.0,1769799912.7636209,1769799956.800451,38.915874004364014,26.26830291748047,36.56756736450489,6.624338150024414,121.23882699012756,2.0,0.2222222222222222,True,2.0,2.0
MO1hlfN2dTWzRqz7yqvv5obstej1,arraylist,completed,3.0,1769187117.461813,1769188150.149238,1032.6874148845673,15.0,7.0,8.0,4.0,5.0,80.0,1769188090.7345436,1769188150.0097709,118.64563451494489,134.289475440979,105.26954772787386,0.29946327209472656,254.43629622459412,1.0,0.14285714285714285,True,2.25,2.0
MO1hlfN2dTWzRqz7yqvv5obstej1,recursion,completed,3.0,1769792338.575975,1769793354.5931222,1016.0171363353728,24.0,12.0,12.0,5.0,5.0,100.0,1769793300.681821,1769793354.460679,64.48217296600342,46.55611026287079,59.41679620862094,6.971279144287109,195.8312201499939,2.0,0.16666666666666666,True,2.0,
ODtPgaYltnMjEuRhGhqPzZyix2c2,arraylist,completed,2.0,1769190916.5795083,1769191502.6396885,586.0601630210876,49.0,24.0,25.0,2.0,5.0,40.0,1769191456.946113,1769191502.5116389,18.02206574877103,17.173953413963318,9.384294522727698,4.558475971221924,39.189284324645996,6.0,0.25,True,2.0,2.3333333333333335
ODtPgaYltnMjEuRhGhqPzZyix2c2,recursion,completed,2.0,1769795665.0271428,1769796124.2679143,459.2407605648041,31.0,15.0,16.0,4.0,5.0,80.0,1769796094.6920362,1769796124.123639,23.297293869654336,15.951201677322388,20.86658192079287,2.6836557388305664,77.58088445663452,4.0,0.26666666666666666,True,1.75,3.0
Q5gYbivZ5ZZ5YOEZoEeLOBp3cPO2,arraylist,completed,1.0,1769187469.6422546,1769187655.5066986,185.86443376541135,15.0,7.0,8.0,2.0,5.0,40.0,1769187620.426006,1769187655.3912966,10.436596257346016,8.885927200317383,5.2534692059736665,4.98910665512085,20.118520259857178,4.0,0.5714285714285714,True,2.5,2.0
Q5gYbivZ5ZZ5YOEZoEeLOBp3cPO2,recursion,completed,1.0,1769792339.4684265,1769792657.8379428,318.3695058822632,19.0,9.0,10.0,1.0,5.0,20.0,1769792582.5334332,1769792657.7098916,16.408981826570297,15.676428318023682,7.446984114682756,6.680932998657227,30.028892278671265,2.0,0.2222222222222222,True,3.0,1.75
RLFI1VvVR2UDVls6U6mwN7264Ij2,arraylist,completed,1.0,1769194670.3415265,1769195191.943646,521.6021120548248,18.0,9.0,9.0,3.0,5.0,60.0,1769195151.202353,1769195191.8267384,44.628409802913666,33.263869404792786,33.20154542881488,12.425748825073242,110.20259547233582,0.0,0.0,True,2.3333333333333335,2.0
RLFI1VvVR2UDVls6U6mwN7264Ij2,recursion,completed,1.0,1769799504.0962253,1769799981.6181738,477.5219407081604,21.0,10.0,11.0,4.0,5.0,80.0,1769799929.2888565,1769799981.4870818,36.37787530422211,40.161561131477356,26.450497556415407,5.096188068389893,83.89461207389832,3.0,0.3,True,1.75,3.0
SiVe6At6b4YNYAT8YLTp2SjJH692,arraylist,completed,2.0,1769190854.1700354,1769191820.496556,966.3265058994292,31.0,15.0,16.0,3.0,5.0,60.0,1769191747.76611,1769191820.3086402,49.31038060188293,45.69712591171265,30.20289995141243,11.885384321212769,118.38314580917358,0.0,0.0,False,2.3333333333333335,2.0
